,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A5814,A,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,B,-,B,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,B,-,-,-,-,-,-,B,-,-,B,-,-,B,B,-,-,-,-,-,A,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,A,-,-,-,B,-,-,-,-,-,-,-,-,-,A,-,-,-,B,-,A,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,A,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,A,-,-,-,-,-,-,-,-,-,A,-,-,B,-,-,-,-,-,-,-,-
A5830,A,B,-,-,A,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,A,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,B,-,-,-,B,-,-,-,A,-,-,-,-,-,B,-,-,B,-,-,A,B,-,-,B,-,-,B,B,-,A,-,A,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,A,-,-,A,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,A,-,-,-,B,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,B,-,-,A,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-
A5816,A,B,-,A,A,-,-,-,-,-,-,-,A,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,B,-,-,B,A,-,-,-,B,-,B,-,-,-,-,-,B,-,-,-,A,-,-,-,A,-,B,-,-,-,-,-,-,B,-,-,B,-,-,B,B,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,A,-,A,-,-,-,-,-,-,-,-,B,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,B,-,-,-,-,-,-,-,-,A,-,-,-,-,B,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,A,-,-,-,-,-,-,-,B,-,-,-,-,B,-,-,-,-,-,A,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,B,-,-,-
A5810,A,B,-,-,-,-,-,B,-,-,A,-,A,-,-,-,A,-,-,-,-,-,-,A,-,-,-,-,-,A,-,-,-,-,A,-,-,-,B,-,-,B,-,A,-,-,B,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,B,-,-,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,A,-,-,-,A,-,-,-,-,-,-,B,-,A,-,-,-,-,-,-,-,-,A,-,B,-,-,A,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,A,-,A,-,-,-,-,-,A,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,A,-,-,B,-,-,-,-,-,-,-,-
A5811,A,B,-,A,-,A,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,B,-,-,-,A,B,-,B,-,B,-,-,-,B,-,-,-,-,-,-,-,-,-,B,-,-,B,-,-,A,B,-,-,B,-,-,B,B,-,-,-,A,-,A,-,-,-,-,-,-,-,-,-,-,A,-,-,-,A,-,-,A,-,-,-,B,-,-,-,-,-,-,-,A,-,-,-,-,B,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,B,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,A,A,-,-,-,-,-,-,-,-,-,A,-,B,-,A,-,-,-,A,-,-,-,-,-,-,-,-,-,-,A,-,-,-,A,A,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-
A5817,A,B,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,A,B,-,-,-,-,-,-,-,B,-,B,-,B,-,-,-,B,-,-,-,-,-,-,-,A,-,B,-,-,-,-,-,A,B,-,-,-,-,-,B,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,A,-,A,-,-,A,-,-,-,-,-,B,-,-,-,-,-,-,A,A,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,A,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,A,-,B,-,-,A,-,B,-,-,-
A780,A,B,-,B,-,-,-,-,-,-,A,-,A,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,B,B,-,-,B,B,B,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,B,B,-,-,-,-,-,B,-,-,B,A,-,A,-,-,-,-,-,-,-,-,-,-,A,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-
A693,A,B,-,B,B,B,-,B,-,-,-,-,-,-,-,-,-,-,B,A,-,-,-,A,-,-,-,-,A,B,-,B,-,-,A,-,-,B,B,-,-,B,-,B,-,-,A,-,-,-,A,A,-,-,-,-,-,-,A,-,B,-,-,-,B,B,-,-,-,-,-,B,-,-,B,A,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,A,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,B,-,-,-,-,-,-,-,-,-,-
A771,A,B,-,-,B,B,-,-,-,-,A,-,A,-,A,-,B,-,B,A,-,-,-,-,-,-,-,-,A,B,A,B,-,-,-,-,-,-,B,-,-,-,B,B,-,-,A,-,-,-,-,-,-,-,A,-,-,-,A,-,B,-,-,-,-,B,-,A,-,-,-,B,-,-,B,-,-,A,A,-,-,-,-,-,-,-,-,-,A,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,A,-,-,-
A7866,A,B,-,-,A,-,-,A,-,-,-,-,-,-,A,-,A,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,A,-,-,B,-,-,-,-,-,B,-,B,B,-,-,-,A,-,-,B,-,-,-,-,B,-,B,-,A,-,-,-,-,-,-,-,A,-,-,-,B,B,-,B,A,-,-,-,A,-,B,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,A,-,-,-,-,-,A,-,B,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,A,-,-,B,A,-,B,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,B,-,-,-,-,-,-,-,B,-,-,A,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-
A7758,A,B,-,B,A,A,-,A,-,-,-,-,-,-,-,-,-,-,A,A,-,-,-,B,-,-,-,-,A,A,-,-,-,-,-,-,-,B,A,-,-,-,A,B,-,B,-,-,B,-,A,A,-,B,-,-,-,-,B,-,B,-,-,-,-,-,-,A,-,-,-,-,-,-,-,B,-,B,-,-,-,-,A,-,B,-,-,-,A,-,-,-,-,-,-,A,-,-,-,A,-,-,A,-,-,-,-,-,A,-,-,-,-,-,A,A,-,A,-,A,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,B,A,-,-,-,-,A,-,-,-,-,-,A,-,B,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,B,A,-,-,-,-,-,-,B,-,-,A,-,-,-,B,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-
A6752,A,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,B,-,-,-,A,-,-,A,A,B,-,-,B,-,B,-,B,-,-,-,B,-,-,-,B,-,B,-,-,-,A,B,-,A,-,-,-,-,-,-,-,B,-,-,B,-,-,-,-,-,-,-,-,-,-,B,-,B,-,-,-,A,-,-,-,A,-,-,-,-,-,-,A,-,B,-,B,-,-,-,B,B,-,-,-,B,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,A,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,B,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-
A6749,A,B,-,A,-,-,-,A,-,-,-,-,-,-,B,-,A,-,-,-,-,-,-,B,-,-,-,-,-,A,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,A,B,-,B,-,B,B,-,-,B,-,-,-,-,-,B,-,-,-,-,B,-,A,-,-,-,-,-,-,A,B,-,A,-,-,-,-,-,-,-,-,-,-,-,B,-,B,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,B,-,B,-,-,-,B,B,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,A,-,-,A,-,-,A,-,-,-,B,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,B,-,-,-,-,-,-,A,-,-,-,-,A,-,-,-,-,-,B,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-
A475,A,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,A,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,A,-,-,B,-,-,-,-,-,-,-,-,-,-,-,B,A,-,B,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,B,-,-,B,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,B,-,-,-,-,A,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,B,A,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,A,-,-,-,-,-
A5646,A,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,B,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,B,-,-,-,A,-,-,-,A,-,-,B,-,-,-,A,-,A,-,B,-,-,-,B,A,-,B,-,-,-,-,A,-,-,A,-,B,-,-,-,-,-,-,-,-,B,-,A,-,B,-,-,-,-,-,A,A,-,-,B,-,-,-,-,B,B,B,-,-,-,A,-,B,-,-,-,-,A,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,A,B,-,-,-,-,-,-,B,-,-,A,-,B,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,B,A,-,-,-,-,-,-,-,-,-,B,-,-,A,-,-,A,-,A,-,-,-
A472,A,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,B,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,A,-,-,-,A,-,-,B,-,-,-,A,-,A,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,A,-,B,-,-,-,-,-,B,-,-,B,-,-,-,-,-,-,B,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,A,-,-,-,-,-,-,-,B,-,-,-,-,A,-,B,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,B,-,-,-
A1177,A,B,-,B,A,-,-,B,-,-,-,-,A,-,A,-,B,-,A,-,-,-,-,-,-,-,-,-,-,B,A,-,-,-,-,-,-,B,B,-,-,-,B,A,-,B,B,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,A,-,-,-,A,-,-,-,B,-,-,-,-,-,-,-,-,A,-,-,-,B,-,-,-,-,-,-,B,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,B,-,-,-,-,-,-,-,B,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A1095,A,B,-,-,A,A,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,A,B,A,A,-,-,B,-,-,-,B,-,-,-,B,A,-,B,B,-,B,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,A,A,-,-,-,-,-,-,-,-,A,-,-,B,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,B,-,-,-,B,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,B,-,-,-,-,-,-,-,B,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,B,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-
A1092,A,B,-,B,A,A,-,-,-,-,A,-,-,-,A,-,B,-,A,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,B,-,-,B,B,-,-,-,B,A,-,B,B,-,-,-,A,-,-,-,A,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,A,-,-,-,A,-,A,-,B,-,-,-,-,-,-,-,-,A,-,-,-,B,-,-,-,-,-,-,B,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,B,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-
A1096,A,B,-,-,-,A,-,-,-,-,A,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,A,A,-,-,B,-,-,B,B,-,-,A,-,-,-,B,-,-,B,-,-,-,-,-,-,-,-,-,A,-,A,-,-,-,A,A,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,B,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,B,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A5750,A,B,-,B,-,-,-,A,-,-,A,-,-,-,A,-,A,-,A,-,-,-,-,-,-,-,-,-,A,A,-,-,-,-,B,-,-,-,B,-,-,A,A,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,B,-,-,-,A,-,A,-,-,-,-,-,-,-,-,-,A,-,-,-,B,-,B,-,B,-,-,-,-,-,-,A,-,B,-,-,-,B,-,-,-,-,-,-,B,-,-,-,-,-,-,-,B,-,-,-,-,-,-,B,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,A,-,B,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-
A1452,A,B,-,-,-,-,-,A,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,A,-,B,-,B,-,-,-,-,A,A,-,A,A,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,B,A,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,B,-,B,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,A,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-
A6363,A,B,-,A,-,A,-,A,-,-,B,-,B,-,-,-,B,-,A,-,-,-,-,A,-,-,-,-,-,-,B,B,-,-,A,-,-,A,A,-,-,A,A,A,-,A,A,-,B,-,A,A,-,-,-,-,-,-,B,-,B,-,A,-,B,B,-,A,-,-,B,-,-,-,B,B,-,A,A,-,-,-,A,-,A,-,-,-,-,B,-,-,-,-,-,A,-,-,-,B,-,-,A,-,-,-,B,-,B,-,A,-,-,-,B,-,-,-,-,A,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,B,-,A,-,-,A,-,-,B,-,-,-,-,-,-,-,-,-,B,-,-,-,-,B,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,B,-,-,B,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,B,B,-,-,-,-,A,-,B,-,-,-
A1758,A,B,-,-,-,A,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,B,-,-,-,-,-,A,-,-,-,-,B,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,B,-,-,A,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,A,-,-,-,B,-,-,-,A,-,-,-,B,-,-,-,-,A,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,B,-,-,-,A,-,B,A,-,-,-,-,B,-,-,-,-,-,B,-,-,-,-,-,-,A,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,A,-,-,-,-,-,-,-,B,-,-,B,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,B,-,-,-,-,B,-,-,-
A1770,A,B,-,A,-,-,-,-,-,-,B,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,A,-,-,B,-,-,-,A,-,A,-,-,A,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,A,B,-,-,-,A,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,A,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,A,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,A,-,-,A,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,B,-,-,B,-,A,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,A,-,-,-,-,-,-,B,-,-,-
A2041,A,B,-,A,-,A,-,B,-,-,A,-,-,-,B,-,A,-,A,-,-,-,-,B,-,-,-,-,-,B,B,A,-,-,B,-,-,A,-,-,-,A,-,B,-,B,-,-,B,-,B,B,-,-,B,-,-,-,-,-,B,A,-,-,A,-,-,-,-,-,A,B,-,-,B,-,-,B,B,-,A,-,B,-,A,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,A,-,A,-,-,-
